,Unnamed: 0,Data,TempMaxima
622,1244,1962-09-15,23.8
623,1246,1962-09-16,27.7
624,1248,1962-09-17,29.4
625,1250,1962-09-18,32.7
626,1252,1962-09-19,25.3
627,1254,1962-09-20,24.8
628,1256,1962-09-21,24.7
629,1258,1962-09-22,22.2
630,1260,1962-09-23,19.5
631,1262,1962-09-24,23.6
632,1264,1962-09-25,23.8
633,1266,1962-09-26,23.6
634,1268,1962-09-27,25.7
635,1270,1962-09-28,25.3
636,1272,1962-09-29,23.4
637,1274,1962-09-30,25.3
638,1276,1962-10-01,27.1
639,1278,1962-10-02,25.7
640,1280,1962-10-03,28.0
641,1282,1962-10-04,29.6
642,1284,1962-10-05,27.8
643,1286,1962-10-06,24.3
644,1288,1962-10-07,25.1
645,1290,1962-10-08,32.5
646,1292,1962-10-09,23.8
647,1294,1962-10-10,22.3
648,1296,1962-10-11,21.5
649,1298,1962-10-12,21.5
650,1300,1962-10-13,22.8
651,1302,1962-10-14,21.4
652,1304,1962-10-15,23.3
653,1306,1962-10-16,25.5
654,1308,1962-10-17,29.5
655,1310,1962-10-18,32.8
656,1312,1962-10-19,28.5
657,1314,1962-10-20,22.3
658,1316,1962-10-21,22.0
659,1318,1962-10-22,22.9
660,1320,1962-10-23,23.9
661,1322,1962-10-24,25.0
662,1324,1962-10-25,23.8
663,1326,1962-10-26,26.9
664,1328,1962-10-27,29.0
665,1330,1962-10-28,30.3
666,1332,1962-10-29,22.4
667,1334,1962-10-30,23.5
668,1336,1962-10-31,25.0
669,1338,1962-11-01,24.9
670,1340,1962-11-02,25.1
671,1342,1962-11-03,25.5
672,1344,1962-11-04,25.8
673,1346,1962-11-05,27.5
674,1348,1962-11-06,29.2
675,1350,1962-11-07,25.0
676,1352,1962-11-08,21.8
677,1354,1962-11-09,21.4
678,1356,1962-11-10,20.5
679,1358,1962-11-11,23.6
680,1360,1962-11-12,23.4
681,1362,1962-11-13,23.5
682,1364,1962-11-14,24.0
683,1366,1962-11-15,26.0
684,1368,1962-11-16,28.2
685,1370,1962-11-17,25.7
686,1372,1962-11-18,27.5
687,1374,1962-11-19,31.9
688,1376,1962-11-20,35.1
689,1378,1962-11-21,31.9
690,1380,1962-11-22,22.1
691,1382,1962-11-23,22.2
692,1384,1962-11-24,24.5
693,1386,1962-11-25,26.6
694,1388,1962-11-26,27.8
695,1390,1962-11-27,32.5
696,1392,1962-11-28,32.4
697,1394,1962-11-29,33.8
698,1396,1962-11-30,31.7
699,1398,1962-12-01,28.2
700,1400,1962-12-02,27.5
701,1402,1962-12-03,35.8
702,1404,1962-12-04,27.8
703,1406,1962-12-05,23.6
704,1408,1962-12-06,21.3
705,1410,1962-12-07,22.8
706,1412,1962-12-08,23.8
707,1414,1962-12-09,27.1
708,1416,1962-12-10,27.0
709,1418,1962-12-11,29.1
710,1420,1962-12-12,30.0
711,1422,1962-12-13,30.3
712,1424,1962-12-14,24.6
713,1426,1962-12-15,24.5
714,1428,1962-12-16,26.8
715,1430,1962-12-17,29.5
716,1432,1962-12-18,27.4
717,1434,1962-12-19,27.9
718,1436,1962-12-20,27.0
719,1438,1962-12-21,27.4
720,1440,1962-12-22,27.4
721,1442,1962-12-23,26.0
722,1444,1962-12-24,27.7
723,1446,1962-12-25,27.2
724,1448,1962-12-26,34.5
725,1450,1962-12-27,30.7
726,1452,1962-12-28,26.2
727,1454,1962-12-29,29.1
728,1456,1962-12-30,31.7
729,1458,1962-12-31,31.7
730,1460,1963-01-01,32.1
731,1462,1963-01-02,31.6
732,1464,1963-01-03,28.3
733,1466,1963-01-04,26.9
734,1468,1963-01-05,26.9
735,1470,1963-01-06,29.6
736,1472,1963-01-07,34.8
737,1474,1963-01-08,37.3
738,1476,1963-01-09,36.6
739,1478,1963-01-10,31.6
740,1480,1963-01-11,31.6
741,1482,1963-01-12,28.9
742,1484,1963-01-13,31.4
743,1486,1963-01-14,35.0
744,1488,1963-01-15,33.1
745,1490,1963-01-16,27.2
746,1492,1963-01-17,28.8
747,1494,1963-01-18,26.9
748,1496,1963-01-19,29.6
749,1498,1963-01-20,28.4
750,1500,1963-01-21,28.0
751,1502,1963-01-22,33.8
752,1504,1963-01-23,29.4
753,1506,1963-01-24,25.3
754,1508,1963-01-25,31.3
755,1510,1963-01-26,36.4
756,1512,1963-01-27,37.2
757,1514,1963-01-28,35.6
758,1516,1963-01-29,32.3
759,1518,1963-01-30,31.3
760,1520,1963-01-31,31.5
761,1522,1963-02-01,32.5
762,1524,1963-02-02,33.0
763,1526,1963-02-03,34.7
764,1528,1963-02-04,29.4
765,1530,1963-02-05,30.8
766,1532,1963-02-06,27.9
767,1534,1963-02-07,25.2
768,1536,1963-02-08,24.6
769,1538,1963-02-09,25.9
770,1540,1963-02-10,27.3
771,1542,1963-02-11,28.4
772,1544,1963-02-12,30.4
773,1546,1963-02-13,28.8
774,1548,1963-02-14,30.2
775,1550,1963-02-15,28.8
776,1552,1963-02-16,30.8
777,1554,1963-02-17,28.4
778,1556,1963-02-18,33.1
779,1558,1963-02-19,35.5
780,1560,1963-02-20,31.6
781,1562,1963-02-21,29.8
782,1564,1963-02-22,27.0
783,1566,1963-02-23,27.5
784,1568,1963-02-24,27.6
785,1570,1963-02-25,27.0
786,1572,1963-02-26,29.2
787,1574,1963-02-27,30.1
788,1576,1963-02-28,30.4
789,1578,1963-03-01,35.4
790,1580,1963-03-02,30.1
791,1582,1963-03-03,28.1
792,1584,1963-03-04,28.3
793,1586,1963-03-05,28.8
794,1588,1963-03-06,31.9
795,1590,1963-03-07,32.9
796,1592,1963-03-08,33.9
797,1594,1963-03-09,33.8
798,1596,1963-03-10,29.9
799,1598,1963-03-11,29.4
800,1600,1963-03-12,28.6
801,1602,1963-03-13,30.2
802,1604,1963-03-14,33.3
803,1606,1963-03-15,29.2
804,1608,1963-03-16,28.5
805,1610,1963-03-17,30.3
806,1612,1963-03-18,32.1
807,1614,1963-03-19,31.5
808,1616,1963-03-20,32.9
809,1618,1963-03-21,32.1
810,1620,1963-03-22,30.2
811,1622,1963-03-23,31.8
812,1624,1963-03-24,32.1
813,1626,1963-03-25,27.5
814,1628,1963-03-26,33.6
815,1630,1963-03-27,36.5
816,1632,1963-03-28,31.0
817,1634,1963-03-29,26.0
818,1636,1963-03-30,27.0
819,1638,1963-03-31,26.6
820,1640,1963-04-01,27.1
821,1642,1963-04-02,29.9
822,1644,1963-04-03,27.0
823,1646,1963-04-04,28.4
824,1648,1963-04-05,27.1
825,1650,1963-04-06,27.6
826,1652,1963-04-07,27.6
827,1654,1963-04-08,27.8
828,1656,1963-04-09,29.0
829,1658,1963-04-10,29.4
830,1660,1963-04-11,27.8
831,1662,1963-04-12,30.8
832,1664,1963-04-13,26.8
833,1666,1963-04-14,26.3
834,1668,1963-04-15,27.1
835,1670,1963-04-16,31.0
836,1672,1963-04-17,26.2
837,1674,1963-04-18,25.2
838,1676,1963-04-19,25.1
839,1678,1963-04-20,26.0
840,1680,1963-04-21,25.7
841,1682,1963-04-22,27.8
842,1684,1963-04-23,30.5
843,1686,1963-04-24,26.5
844,1688,1963-04-25,26.7
845,1690,1963-04-26,27.5
846,1692,1963-04-27,28.8
847,1694,1963-04-28,25.9
848,1696,1963-04-29,25.8
849,1698,1963-04-30,26.0
850,1700,1963-05-01,26.0
851,1702,1963-05-02,29.3
852,1704,1963-05-03,28.9
853,1706,1963-05-04,26.9
854,1708,1963-05-05,24.0
855,1710,1963-05-06,24.4
856,1712,1963-05-07,24.6
857,1714,1963-05-08,25.4
858,1716,1963-05-09,29.8
859,1718,1963-05-10,25.5
860,1720,1963-05-11,26.4
861,1722,1963-05-12,30.5
862,1724,1963-05-13,30.8
863,1726,1963-05-14,30.7
864,1728,1963-05-15,30.4
865,1730,1963-05-16,26.0
866,1732,1963-05-17,22.1
867,1734,1963-05-18,23.0
868,1736,1963-05-19,23.3
869,1738,1963-05-20,24.3
870,1740,1963-05-21,24.7
871,1742,1963-05-22,24.8
872,1744,1963-05-23,26.1
873,1746,1963-05-24,29.0
874,1748,1963-05-25,25.8
875,1750,1963-05-26,24.4
876,1752,1963-05-27,24.8
877,1754,1963-05-28,23.9
878,1756,1963-05-29,24.6
879,1758,1963-05-30,26.6
880,1760,1963-05-31,24.2
881,1762,1963-06-01,23.0
882,1764,1963-06-02,23.1
883,1766,1963-06-03,23.6
884,1768,1963-06-04,26.4
885,1770,1963-06-05,27.3
886,1772,1963-06-06,25.2
887,1774,1963-06-07,24.3
888,1776,1963-06-08,24.9
889,1778,1963-06-09,26.9
890,1780,1963-06-10,23.5
891,1782,1963-06-11,26.6
892,1784,1963-06-12,27.2
893,1786,1963-06-13,23.6
894,1788,1963-06-14,21.7
895,1790,1963-06-15,24.1
896,1792,1963-06-16,29.0
897,1794,1963-06-17,27.2
898,1796,1963-06-18,22.3
