,Data,TempMaxima
1308,1962-10-17,29.5
1310,1962-10-18,32.8
1312,1962-10-19,28.5
1314,1962-10-20,22.3
1316,1962-10-21,22.0
1318,1962-10-22,22.9
1320,1962-10-23,23.9
1322,1962-10-24,25.0
1324,1962-10-25,23.8
1326,1962-10-26,26.9
1328,1962-10-27,29.0
1330,1962-10-28,30.3
1332,1962-10-29,22.4
1334,1962-10-30,23.5
1336,1962-10-31,25.0
1338,1962-11-01,24.9
1340,1962-11-02,25.1
1342,1962-11-03,25.5
1344,1962-11-04,25.8
1346,1962-11-05,27.5
1348,1962-11-06,29.2
1350,1962-11-07,25.0
1352,1962-11-08,21.8
1354,1962-11-09,21.4
1356,1962-11-10,20.5
1358,1962-11-11,23.6
1360,1962-11-12,23.4
1362,1962-11-13,23.5
1364,1962-11-14,24.0
1366,1962-11-15,26.0
1368,1962-11-16,28.2
1370,1962-11-17,25.7
1372,1962-11-18,27.5
1374,1962-11-19,31.9
1376,1962-11-20,35.1
1378,1962-11-21,31.9
1380,1962-11-22,22.1
1382,1962-11-23,22.2
1384,1962-11-24,24.5
1386,1962-11-25,26.6
1388,1962-11-26,27.8
1390,1962-11-27,32.5
1392,1962-11-28,32.4
1394,1962-11-29,33.8
1396,1962-11-30,31.7
1398,1962-12-01,28.2
1400,1962-12-02,27.5
1402,1962-12-03,35.8
1404,1962-12-04,27.8
1406,1962-12-05,23.6
1408,1962-12-06,21.3
1410,1962-12-07,22.8
1412,1962-12-08,23.8
1414,1962-12-09,27.1
1416,1962-12-10,27.0
1418,1962-12-11,29.1
1420,1962-12-12,30.0
1422,1962-12-13,30.3
1424,1962-12-14,24.6
1426,1962-12-15,24.5
1428,1962-12-16,26.8
1430,1962-12-17,29.5
1432,1962-12-18,27.4
1434,1962-12-19,27.9
1436,1962-12-20,27.0
1438,1962-12-21,27.4
1440,1962-12-22,27.4
1442,1962-12-23,26.0
1444,1962-12-24,27.7
1446,1962-12-25,27.2
1448,1962-12-26,34.5
1450,1962-12-27,30.7
1452,1962-12-28,26.2
1454,1962-12-29,29.1
1456,1962-12-30,31.7
1458,1962-12-31,31.7
1460,1963-01-01,32.1
1462,1963-01-02,31.6
1464,1963-01-03,28.3
1466,1963-01-04,26.9
1468,1963-01-05,26.9
1470,1963-01-06,29.6
1472,1963-01-07,34.8
1474,1963-01-08,37.3
1476,1963-01-09,36.6
1478,1963-01-10,31.6
1480,1963-01-11,31.6
1482,1963-01-12,28.9
1484,1963-01-13,31.4
1486,1963-01-14,35.0
1488,1963-01-15,33.1
1490,1963-01-16,27.2
1492,1963-01-17,28.8
1494,1963-01-18,26.9
1496,1963-01-19,29.6
1498,1963-01-20,28.4
1500,1963-01-21,28.0
1502,1963-01-22,33.8
1504,1963-01-23,29.4
1506,1963-01-24,25.3
1508,1963-01-25,31.3
1510,1963-01-26,36.4
1512,1963-01-27,37.2
1514,1963-01-28,35.6
1516,1963-01-29,32.3
1518,1963-01-30,31.3
1520,1963-01-31,31.5
1522,1963-02-01,32.5
1524,1963-02-02,33.0
1526,1963-02-03,34.7
1528,1963-02-04,29.4
1530,1963-02-05,30.8
1532,1963-02-06,27.9
1534,1963-02-07,25.2
1536,1963-02-08,24.6
1538,1963-02-09,25.9
1540,1963-02-10,27.3
1542,1963-02-11,28.4
1544,1963-02-12,30.4
1546,1963-02-13,28.8
1548,1963-02-14,30.2
1550,1963-02-15,28.8
1552,1963-02-16,30.8
1554,1963-02-17,28.4
1556,1963-02-18,33.1
1558,1963-02-19,35.5
1560,1963-02-20,31.6
1562,1963-02-21,29.8
1564,1963-02-22,27.0
1566,1963-02-23,27.5
1568,1963-02-24,27.6
1570,1963-02-25,27.0
1572,1963-02-26,29.2
1574,1963-02-27,30.1
1576,1963-02-28,30.4
1578,1963-03-01,35.4
1580,1963-03-02,30.1
1582,1963-03-03,28.1
1584,1963-03-04,28.3
1586,1963-03-05,28.8
1588,1963-03-06,31.9
1590,1963-03-07,32.9
1592,1963-03-08,33.9
1594,1963-03-09,33.8
1596,1963-03-10,29.9
1598,1963-03-11,29.4
1600,1963-03-12,28.6
1602,1963-03-13,30.2
1604,1963-03-14,33.3
1606,1963-03-15,29.2
1608,1963-03-16,28.5
1610,1963-03-17,30.3
1612,1963-03-18,32.1
1614,1963-03-19,31.5
1616,1963-03-20,32.9
1618,1963-03-21,32.1
1620,1963-03-22,30.2
1622,1963-03-23,31.8
1624,1963-03-24,32.1
1626,1963-03-25,27.5
1628,1963-03-26,33.6
1630,1963-03-27,36.5
1632,1963-03-28,31.0
1634,1963-03-29,26.0
1636,1963-03-30,27.0
1638,1963-03-31,26.6
1640,1963-04-01,27.1
1642,1963-04-02,29.9
1644,1963-04-03,27.0
1646,1963-04-04,28.4
1648,1963-04-05,27.1
1650,1963-04-06,27.6
1652,1963-04-07,27.6
1654,1963-04-08,27.8
1656,1963-04-09,29.0
1658,1963-04-10,29.4
1660,1963-04-11,27.8
1662,1963-04-12,30.8
1664,1963-04-13,26.8
1666,1963-04-14,26.3
1668,1963-04-15,27.1
1670,1963-04-16,31.0
1672,1963-04-17,26.2
1674,1963-04-18,25.2
1676,1963-04-19,25.1
1678,1963-04-20,26.0
1680,1963-04-21,25.7
1682,1963-04-22,27.8
1684,1963-04-23,30.5
1686,1963-04-24,26.5
1688,1963-04-25,26.7
1690,1963-04-26,27.5
1692,1963-04-27,28.8
1694,1963-04-28,25.9
1696,1963-04-29,25.8
1698,1963-04-30,26.0
1700,1963-05-01,26.0
1702,1963-05-02,29.3
1704,1963-05-03,28.9
1706,1963-05-04,26.9
1708,1963-05-05,24.0
1710,1963-05-06,24.4
1712,1963-05-07,24.6
1714,1963-05-08,25.4
1716,1963-05-09,29.8
1718,1963-05-10,25.5
1720,1963-05-11,26.4
1722,1963-05-12,30.5
1724,1963-05-13,30.8
1726,1963-05-14,30.7
1728,1963-05-15,30.4
1730,1963-05-16,26.0
1732,1963-05-17,22.1
1734,1963-05-18,23.0
1736,1963-05-19,23.3
1738,1963-05-20,24.3
1740,1963-05-21,24.7
1742,1963-05-22,24.8
1744,1963-05-23,26.1
1746,1963-05-24,29.0
1748,1963-05-25,25.8
1750,1963-05-26,24.4
1752,1963-05-27,24.8
1754,1963-05-28,23.9
1756,1963-05-29,24.6
1758,1963-05-30,26.6
1760,1963-05-31,24.2
1762,1963-06-01,23.0
1764,1963-06-02,23.1
1766,1963-06-03,23.6
1768,1963-06-04,26.4
1770,1963-06-05,27.3
1772,1963-06-06,25.2
1774,1963-06-07,24.3
1776,1963-06-08,24.9
1778,1963-06-09,26.9
1780,1963-06-10,23.5
1782,1963-06-11,26.6
1784,1963-06-12,27.2
1786,1963-06-13,23.6
1788,1963-06-14,21.7
1790,1963-06-15,24.1
1792,1963-06-16,29.0
1794,1963-06-17,27.2
1796,1963-06-18,22.3
1798,1963-06-19,25.0
1800,1963-06-20,20.7
1802,1963-06-21,22.9
1804,1963-06-22,21.3
1806,1963-06-23,23.4
1808,1963-06-24,25.4
1810,1963-06-25,24.5
1812,1963-06-26,25.7
1814,1963-06-27,27.7
1816,1963-06-28,25.3
1818,1963-06-29,27.8
1820,1963-06-30,25.4
1822,1963-07-01,27.5
1824,1963-07-02,24.4
1826,1963-07-03,22.6
1828,1963-07-04,23.1
1830,1963-07-05,21.3
1832,1963-07-06,21.1
1834,1963-07-07,23.5
1836,1963-07-08,24.6
1838,1963-07-09,26.3
1840,1963-07-10,26.7
1842,1963-07-11,28.8
1844,1963-07-12,28.6
1846,1963-07-13,28.3
1848,1963-07-14,27.4
1850,1963-07-15,26.2
1852,1963-07-16,27.5
1854,1963-07-17,24.0
1856,1963-07-18,25.3
1858,1963-07-19,22.4
1860,1963-07-20,26.8
1862,1963-07-21,33.3
1864,1963-07-22,30.4
1866,1963-07-23,23.0
1868,1963-07-24,18.7
1870,1963-07-25,22.7
1872,1963-07-26,22.9
1874,1963-07-27,23.6
1876,1963-07-28,24.5
1878,1963-07-29,26.3
1880,1963-07-30,27.1
1882,1963-07-31,28.6
